Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background performed on,12-06-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY performed on,12-06-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM performed on,12-06-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN performed on,12-06-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED performed on,12-06-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX performed on,12-06-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR performed on,12-06-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA performed on,12-06-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC performed on,12-06-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI performed on,12-06-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity performed on,12-06-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Created,2023-10-17 16:29:05 PM EDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Comment,C:\Applied Biosystems\QuantStudio Design & Analysis Software\User Files\Export\Rich\CR2Apal_June2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\QuantStudio Design & Analysis Software\User Files\experiments\Rich\CRIIApal_2022\RK_CR2Apal_36C_17.eds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Name,RK_CR2Apal_36C_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2023-10-17 16:28:44 PM EDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Type,Standard Curve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Name,172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Serial Number,172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,QuantStudio™ 3 System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quantification Cycle Method,Ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Signal Smoothing On,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage where Melt Analysis is performed,Stage3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage/ Cycle where Ct Analysis is performed,"Stage2, Step2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Y-Intercept,R(superscript 2),Slope,Efficiency,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,Rn (last cycle),Delta Rn (last cycle),Tm1,Tm2,Tm3,Tm4,CQCONF,EXPFAIL,HIGHSD,MTP,NOAMP
1,A1,FALSE,+,Apal,UNKNOWN,SYBR,None,29.416305541992188,29.124366760253906,0.41286244988441467,,,,,,,,FALSE,0.10000000000000001,TRUE,3,25,Amp,,0.97180392807900839,3.9332942962646484,3.502418041229248,75.16180419921875,,,,N,N,N,N,N
2,A2,FALSE,+,A,UNKNOWN,SYBR,None,14.978509902954102,14.900020599365234,0.11100131273269653,,,,,,,,FALSE,0.10000000000000001,TRUE,3,11,Amp,,0.95924292810028566,6.2841396331787109,5.7194976806640625,87.973190307617188,,,,N,N,N,N,N
3,A3,FALSE,CR2Apal_36C_142,Apal,UNKNOWN,SYBR,None,20.847784042358398,20.959505081176758,0.15799741446971893,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.93267882919391054,4.3016514778137207,3.7488663196563721,75.289299011230469,,,,N,N,N,N,N
4,A4,FALSE,CR2Apal_36C_142,A,UNKNOWN,SYBR,None,26.112707138061523,26.321266174316406,0.29494565725326538,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.95747733150012537,5.7387027740478516,5.1983776092529297,88.093940734863281,,,,N,N,N,N,N
5,A5,FALSE,CR2Apal_36C_142,Apal,UNKNOWN,SYBR,None,21.071226119995117,20.959505081176758,0.15799741446971893,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.92454076107387628,4.2503657341003418,3.8910708427429199,75.003303527832031,,,,N,N,N,N,N
6,A6,FALSE,CR2Apal_36C_142,A,UNKNOWN,SYBR,None,26.529823303222656,26.321266174316406,0.29494565725326538,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.95459796558213184,5.6379523277282715,5.1675739288330078,87.803398132324219,,,,N,N,N,N,N
7,A7,FALSE,CR2Apal_36C_143,Apal,UNKNOWN,SYBR,None,22.75408935546875,22.827842712402344,0.10430164635181427,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.94310989028962611,4.4114017486572266,3.9789371490478516,75.009765625,,,,N,N,N,N,N
8,A8,FALSE,CR2Apal_36C_143,A,UNKNOWN,SYBR,None,28.437555313110352,29.35252571105957,1.2939635515213013,,,,,,,,FALSE,0.10000000000000001,TRUE,3,24,Amp,,0.96028166114256741,5.2275996208190918,4.8671102523803711,87.815544128417969,,,,N,N,Y,N,N
9,A9,FALSE,CR2Apal_36C_143,Apal,UNKNOWN,SYBR,None,22.901594161987305,22.827842712402344,0.10430164635181427,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.87828992830565589,4.9917235374450684,3.643343448638916,75.307380676269531,,,,N,N,N,N,N
10,A10,FALSE,CR2Apal_36C_143,A,UNKNOWN,SYBR,None,30.267496109008789,29.35252571105957,1.2939635515213013,,,,,,,,FALSE,0.10000000000000001,TRUE,3,26,Amp,,0.96245958623659333,4.704012393951416,4.2590856552124023,88.406265258789062,85.061874389648438,,,N,N,Y,Y,N
11,A11,FALSE,NTC,Apal,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,0.40881186723709106,-0.010643403977155685,77.806777954101562,80.7310791015625,83.655372619628906,63.046047210693359,Y,Y,N,Y,N
12,A12,FALSE,NTC,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,0.62376165390014648,-0.01037997379899025,73.768463134765625,82.12359619140625,92.010505676269531,69.451644897460938,Y,Y,N,Y,N
13,B1,FALSE,CR2Apal_36C_144,Apal,UNKNOWN,SYBR,None,20.392204284667969,20.370330810546875,0.03093511238694191,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.96631674743353224,4.331784725189209,3.765200138092041,75.022552490234375,,,,N,N,N,N,N
14,B2,FALSE,CR2Apal_36C_144,A,UNKNOWN,SYBR,None,24.41163444519043,24.467842102050781,0.079490981996059418,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.95433173323735188,5.6701173782348633,5.127586841583252,87.833938598632812,,,,N,N,N,N,N
15,B3,FALSE,CR2Apal_36C_144,Apal,UNKNOWN,SYBR,None,20.348455429077148,20.370330810546875,0.03093511238694191,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.94544886884239987,4.2496461868286133,3.6972360610961914,75.150115966796875,,,,N,N,N,N,N
16,B4,FALSE,CR2Apal_36C_144,A,UNKNOWN,SYBR,None,24.524051666259766,24.467842102050781,0.079490981996059418,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.96626332150782257,5.6730666160583496,5.1053590774536133,88.093940734863281,,,,N,N,N,N,N
17,B5,FALSE,CR2Apal_36C_145,Apal,UNKNOWN,SYBR,None,19.706680297851562,19.621246337890625,0.1208232119679451,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.96408770390335685,4.3053460121154785,3.7173166275024414,75.003303527832031,,,,N,N,N,N,N
18,B6,FALSE,CR2Apal_36C_145,A,UNKNOWN,SYBR,None,23.563215255737305,23.564769744873047,0.002199728274717927,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.93744877166408225,5.8503499031066895,5.3318047523498535,87.803398132324219,,,,N,N,N,N,N
19,B7,FALSE,CR2Apal_36C_145,Apal,UNKNOWN,SYBR,None,19.535810470581055,19.621246337890625,0.1208232119679451,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.96902894728838962,4.4473977088928223,3.9396708011627197,75.009765625,,,,N,N,N,N,N
20,B8,FALSE,CR2Apal_36C_145,A,UNKNOWN,SYBR,None,23.566326141357422,23.564769744873047,0.002199728274717927,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.9418301099865769,5.9204788208007812,5.2928152084350586,87.815544128417969,,,,N,N,N,N,N
21,B9,FALSE,CR2Apal_36C_146,Apal,UNKNOWN,SYBR,None,20.004043579101562,19.971061706542969,0.046643409878015518,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.92765459150404272,4.4842634201049805,3.8777937889099121,75.16802978515625,,,,N,N,N,N,N
22,B10,FALSE,CR2Apal_36C_146,A,UNKNOWN,SYBR,None,24.670345306396484,24.953292846679688,0.40014824271202087,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.95603293318108251,5.8397841453552246,5.425447940826416,87.98822021484375,,,,N,N,N,N,N
23,B11,FALSE,CR2Apal_36C_146,Apal,UNKNOWN,SYBR,None,19.938079833984375,19.971061706542969,0.046643409878015518,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.95258540447240969,4.3559222221374512,4.0188093185424805,75.160987854003906,,,,N,N,N,N,N
