Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background performed on,12-06-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY performed on,12-06-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM performed on,12-06-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN performed on,12-06-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED performed on,12-06-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX performed on,12-06-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR performed on,12-06-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA performed on,12-06-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC performed on,12-06-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI performed on,12-06-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity performed on,12-06-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Created,2023-10-17 10:14:11 AM EDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Comment,C:\Applied Biosystems\QuantStudio Design & Analysis Software\User Files\Export\Rich\CR2Apal_June2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\QuantStudio Design & Analysis Software\User Files\experiments\Rich\CRIIApal_2022\RK_CR2Apal_36C_12.eds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Name,RK_CR2Apal_36C_12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2023-10-17 10:13:52 AM EDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Type,Standard Curve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Name,172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Serial Number,172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,QuantStudio™ 3 System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quantification Cycle Method,Ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Signal Smoothing On,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage where Melt Analysis is performed,Stage3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage/ Cycle where Ct Analysis is performed,"Stage2, Step2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Y-Intercept,R(superscript 2),Slope,Efficiency,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,Rn (last cycle),Delta Rn (last cycle),Tm1,Tm2,Tm3,Tm4,CQCONF,EXPFAIL,HIGHSD,MTP,NOAMP
1,A1,FALSE,+,Apal,UNKNOWN,SYBR,None,30.5091552734375,30.178939819335938,0.46699652075767517,,,,,,,,FALSE,0.10000000000000001,TRUE,3,26,Amp,,0.98667912868068541,3.8375005722045898,3.3545138835906982,75.139816284179688,,,,N,N,N,N,N
2,A2,FALSE,+,A,UNKNOWN,SYBR,None,14.903326988220215,14.859933853149414,0.061366487294435501,,,,,,,,FALSE,0.10000000000000001,TRUE,3,11,Amp,,0.96005705098698113,5.7110967636108398,5.1945991516113281,88.049819946289062,,,,N,N,N,N,N
3,A3,FALSE,CR2Apal_36C_22,Apal,UNKNOWN,SYBR,None,21.104270935058594,21.089883804321289,0.020346475765109062,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.93144511782514727,4.5269708633422852,3.974419116973877,75.265655517578125,,,,N,N,N,N,N
4,A4,FALSE,CR2Apal_36C_22,A,UNKNOWN,SYBR,None,25.264579772949219,25.047964096069336,0.30634081363677979,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.95973873050643377,5.0324301719665527,4.5916333198547363,88.026748657226562,,,,N,N,N,N,N
5,A5,FALSE,CR2Apal_36C_22,Apal,UNKNOWN,SYBR,None,21.075496673583984,21.089883804321289,0.020346475765109062,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.93258781638378729,4.474611759185791,4.1198215484619141,75.120010375976562,,,,N,N,N,N,N
6,A6,FALSE,CR2Apal_36C_22,A,UNKNOWN,SYBR,None,24.831348419189453,25.047964096069336,0.30634081363677979,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.95488645556391938,5.084752082824707,4.6932649612426758,87.877883911132812,,,,N,N,N,N,N
7,A7,FALSE,CR2Apal_36C_23,Apal,UNKNOWN,SYBR,None,21.352096557617188,21.47955322265625,0.18025094270706177,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.93951968502284522,4.5077996253967285,4.0420050621032715,75.127845764160156,,,,N,N,N,N,N
8,A8,FALSE,CR2Apal_36C_23,A,UNKNOWN,SYBR,None,25.403766632080078,24.769596099853516,0.89685124158859253,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.96307225585237988,5.0651669502258301,4.6997137069702148,87.89215087890625,,,,N,N,Y,N,N
9,A9,FALSE,CR2Apal_36C_23,Apal,UNKNOWN,SYBR,None,21.607009887695312,21.47955322265625,0.18025094270706177,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.86833100986895184,5.0692086219787598,3.6074905395507812,75.288803100585938,,,,N,N,N,N,N
10,A10,FALSE,CR2Apal_36C_23,A,UNKNOWN,SYBR,None,24.135427474975586,24.769596099853516,0.89685124158859253,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.95609845106932534,5.2776279449462891,4.7734627723693848,88.069305419921875,,,,N,N,Y,N,N
11,A11,FALSE,NTC,Apal,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,0.42853030562400818,-0.0094202989712357521,63.774726867675781,72.336700439453125,76.126426696777344,93.952178955078125,Y,Y,N,Y,N
12,A12,FALSE,NTC,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,0.56902599334716797,-0.008752048946917057,80.477592468261719,91.425689697265625,89.179931640625,76.26678466796875,Y,Y,N,Y,N
13,B1,FALSE,CR2Apal_36C_24,Apal,UNKNOWN,SYBR,None,21.964447021484375,22.283447265625,0.45113447308540344,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.98236338168271076,4.5196242332458496,3.9546802043914795,75.139816284179688,,,,N,N,N,N,N
14,B2,FALSE,CR2Apal_36C_24,A,UNKNOWN,SYBR,None,27.641731262207031,26.985763549804688,0.92767840623855591,,,,,,,,FALSE,0.10000000000000001,TRUE,3,23,Amp,,0.96868723144466518,4.5383872985839844,4.1747827529907227,88.049819946289062,,,,N,N,Y,N,N
15,B3,FALSE,CR2Apal_36C_24,Apal,UNKNOWN,SYBR,None,22.602447509765625,22.283447265625,0.45113447308540344,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.94783669676476112,4.4278292655944824,4.0074419975280762,75.265655517578125,,,,N,N,N,N,N
16,B4,FALSE,CR2Apal_36C_24,A,UNKNOWN,SYBR,None,26.329795837402344,26.985763549804688,0.92767840623855591,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.95943895640317822,4.9255380630493164,4.5204300880432129,88.026748657226562,,,,N,N,Y,N,N
17,B5,FALSE,CR2Apal_36C_25,Apal,UNKNOWN,SYBR,None,21.258169174194336,21.348964691162109,0.12840290367603302,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.93809696614724047,4.5545101165771484,4.0941939353942871,75.120010375976562,,,,N,N,N,N,N
18,B6,FALSE,CR2Apal_36C_25,A,UNKNOWN,SYBR,None,26.287309646606445,26.136075973510742,0.21387670934200287,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.94947097964774874,4.8286266326904297,4.520897388458252,87.737686157226562,,,,N,N,N,N,N
19,B7,FALSE,CR2Apal_36C_25,Apal,UNKNOWN,SYBR,None,21.43975830078125,21.348964691162109,0.12840290367603302,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.93507741703563352,4.5483808517456055,4.1670103073120117,75.127845764160156,,,,N,N,N,N,N
20,B8,FALSE,CR2Apal_36C_25,A,UNKNOWN,SYBR,None,25.984842300415039,26.136075973510742,0.21387670934200287,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.95468789943551025,4.8938174247741699,4.4838495254516602,87.751876831054688,,,,N,N,N,N,N
21,B9,FALSE,CR2Apal_36C_26,Apal,UNKNOWN,SYBR,None,21.603551864624023,21.565713882446289,0.053510986268520355,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.93529631104383182,4.3891439437866211,3.8906745910644531,75.288803100585938,,,,N,N,N,N,N
22,B10,FALSE,CR2Apal_36C_26,A,UNKNOWN,SYBR,None,23.751216888427734,23.836921691894531,0.12120489776134491,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.95387137178242454,5.0488519668579102,4.774960994720459,88.069305419921875,,,,N,N,N,N,N
23,B11,FALSE,CR2Apal_36C_26,Apal,UNKNOWN,SYBR,None,21.527875900268555,21.565713882446289,0.053510986268520355,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.94665996585784806,4.2930111885070801,4.0681586265563965,75.143905639648438,,,,N,N,N,N,N
