Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background performed on,12-06-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY performed on,12-06-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM performed on,12-06-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN performed on,12-06-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED performed on,12-06-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX performed on,12-06-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR performed on,12-06-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA performed on,12-06-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC performed on,12-06-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI performed on,12-06-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity performed on,12-06-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Created,2023-10-17 11:45:22 AM EDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Comment,C:\Applied Biosystems\QuantStudio Design & Analysis Software\User Files\Export\Rich\CR2Apal_June2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\QuantStudio Design & Analysis Software\User Files\experiments\Rich\CRIIApal_2023\RK_CR2Apal_36C_14Y.eds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Name,RK_CR2Apal_36C_14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2023-10-17 11:45:04 AM EDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Type,Standard Curve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Name,172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Serial Number,172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,QuantStudio™ 3 System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quantification Cycle Method,Ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Signal Smoothing On,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage where Melt Analysis is performed,Stage3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage/ Cycle where Ct Analysis is performed,"Stage2, Step2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Y-Intercept,R(superscript 2),Slope,Efficiency,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,Rn (last cycle),Delta Rn (last cycle),Tm1,Tm2,Tm3,Tm4,CQCONF,EXPFAIL,HIGHSD,MTP,NOAMP
1,A1,FALSE,+,Apal,UNKNOWN,SYBR,None,30.959871292114258,29.832466125488281,1.5943930149078369,,,,,,,,FALSE,0.10000000000000001,TRUE,3,26,Amp,,0.99141042909339827,3.5220000743865967,3.0966131687164307,75.128005981445312,,,,N,N,Y,N,N
2,A2,FALSE,+,A,UNKNOWN,SYBR,None,14.77780818939209,14.844003677368164,0.093614555895328522,,,,,,,,FALSE,0.10000000000000001,TRUE,3,11,Amp,,0.97587923237754715,5.6590285301208496,5.181828498840332,88.028030395507812,,,,N,N,N,N,N
3,A3,FALSE,CR2Apal_36C_66,Apal,UNKNOWN,SYBR,None,21.414054870605469,21.532388687133789,0.16734929382801056,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.97099169327535295,4.2774395942687988,3.7933351993560791,75.250869750976562,,,,N,N,N,N,N
4,A4,FALSE,CR2Apal_36C_66,A,UNKNOWN,SYBR,None,27.327545166015625,27.868034362792969,0.76436716318130493,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.99104322188870553,4.759007453918457,4.3920478820800781,88.13995361328125,,,,N,N,Y,N,N
5,A5,FALSE,CR2Apal_36C_66,Apal,UNKNOWN,SYBR,None,21.650722503662109,21.532388687133789,0.16734929382801056,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.93290627564333151,4.193934440612793,3.8089048862457275,75.111564636230469,,,,N,N,N,N,N
6,A6,FALSE,CR2Apal_36C_66,A,UNKNOWN,SYBR,None,28.408523559570312,27.868034362792969,0.76436716318130493,,,,,,,,FALSE,0.10000000000000001,TRUE,3,24,Amp,,0.97479139760831124,4.5653648376464844,4.1906147003173828,87.86224365234375,,,,N,N,Y,N,N
7,A7,FALSE,CR2Apal_36C_67,Apal,UNKNOWN,SYBR,None,19.537807464599609,19.838829040527344,0.42571014165878296,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.93628081130693597,4.323298454284668,3.6871321201324463,75.121978759765625,,,,N,N,N,N,N
8,A8,FALSE,CR2Apal_36C_67,A,UNKNOWN,SYBR,None,24.541542053222656,24.385662078857422,0.22044757008552551,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.94744793551651452,5.0961222648620605,4.6471991539001465,87.881935119628906,,,,N,N,N,N,N
9,A9,FALSE,CR2Apal_36C_67,Apal,UNKNOWN,SYBR,None,20.139852523803711,19.838829040527344,0.42571014165878296,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.93281713613765882,4.7753095626831055,3.3798949718475342,75.276580810546875,,,,N,N,N,N,N
10,A10,FALSE,CR2Apal_36C_67,A,UNKNOWN,SYBR,None,24.229782104492188,24.385662078857422,0.22044757008552551,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.94548286974786033,5.1440210342407227,4.6367406845092773,88.046363830566406,,,,N,N,N,N,N
11,A11,FALSE,NTC,Apal,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,0.43114450573921204,-0.006087182555347681,76.390792846679688,80.176948547363281,86.0665283203125,63.069118499755859,Y,Y,N,Y,N
12,A12,FALSE,NTC,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,0.53607815504074097,-0.0073842550627887249,91.11474609375,76.951705932617188,63.770259857177734,79.616035461425781,Y,Y,N,Y,N
13,B1,FALSE,CR2Apal_36C_68,Apal,UNKNOWN,SYBR,None,26.453226089477539,26.530727386474609,0.10960473120212555,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.9680276765660687,4.1752886772155762,3.7287528514862061,75.128005981445312,,,,N,N,N,N,N
14,B2,FALSE,CR2Apal_36C_68,A,UNKNOWN,SYBR,None,30.374053955078125,29.809238433837891,0.79877114295959473,,,,,,,,FALSE,0.10000000000000001,TRUE,3,26,Amp,,0.96134096320791007,3.9742166996002197,3.6262786388397217,87.8878173828125,,,,N,N,Y,N,N
15,B3,FALSE,CR2Apal_36C_68,Apal,UNKNOWN,SYBR,None,26.608230590820312,26.530727386474609,0.10960473120212555,,,,,,,,FALSE,0.10000000000000001,TRUE,3,23,Amp,,0.95891449047812094,4.0251598358154297,3.6376950740814209,75.250869750976562,,,,N,N,N,N,N
16,B4,FALSE,CR2Apal_36C_68,A,UNKNOWN,SYBR,None,29.244421005249023,29.809238433837891,0.79877114295959473,,,,,,,,FALSE,0.10000000000000001,TRUE,3,25,Amp,,0.96410869783586406,4.4870429039001465,4.117286205291748,87.999855041503906,,,,N,N,Y,N,N
17,B5,FALSE,CR2Apal_36C_69,Apal,UNKNOWN,SYBR,None,21.907556533813477,21.948032379150391,0.057241488248109818,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.94752775796576938,4.3177766799926758,3.8826982975006104,75.111564636230469,,,,N,N,N,N,N
18,B6,FALSE,CR2Apal_36C_69,A,UNKNOWN,SYBR,None,28.171981811523438,28.5687255859375,0.56108176708221436,,,,,,,,FALSE,0.10000000000000001,TRUE,3,24,Amp,,0.9548865393675775,4.6109623908996582,4.3202023506164551,87.86224365234375,,,,N,N,Y,N,N
19,B7,FALSE,CR2Apal_36C_69,Apal,UNKNOWN,SYBR,None,21.988508224487305,21.948032379150391,0.057241488248109818,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.93779810012703668,4.259981632232666,3.9203441143035889,75.121978759765625,,,,N,N,N,N,N
20,B8,FALSE,CR2Apal_36C_69,A,UNKNOWN,SYBR,None,28.965471267700195,28.5687255859375,0.56108176708221436,,,,,,,,FALSE,0.10000000000000001,TRUE,3,24,Amp,,0.95994904477343446,4.4066061973571777,4.0114655494689941,87.741714477539062,,,,N,N,Y,N,N
21,B9,FALSE,CR2Apal_36C_70,Apal,UNKNOWN,SYBR,None,24.783605575561523,24.83036994934082,0.066134810447692871,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.94817352680519407,4.1951580047607422,3.7694728374481201,75.276580810546875,,,,N,N,N,N,N
22,B10,FALSE,CR2Apal_36C_70,A,UNKNOWN,SYBR,None,30.436239242553711,30.986408233642578,0.77805781364440918,,,,,,,,FALSE,0.10000000000000001,TRUE,3,25,Amp,,0.95603023261662234,3.9150254726409912,3.699444055557251,88.046363830566406,,,,N,N,Y,N,N
23,B11,FALSE,CR2Apal_36C_70,Apal,UNKNOWN,SYBR,None,24.877134323120117,24.83036994934082,0.066134810447692871,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.94926098557138161,4.1298542022705078,3.9319515228271484,75.128738403320312,,,,N,N,N,N,N
