Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background performed on,12-06-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY performed on,12-06-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM performed on,12-06-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN performed on,12-06-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED performed on,12-06-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX performed on,12-06-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR performed on,12-06-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA performed on,12-06-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC performed on,12-06-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI performed on,12-06-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity performed on,12-06-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Created,2023-10-17 15:50:25 PM EDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Comment,C:\Applied Biosystems\QuantStudio Design & Analysis Software\User Files\Export\Rich\CR2Apal_June2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\QuantStudio Design & Analysis Software\User Files\experiments\Rich\CRIIApal_2022\RK_CR2Apal_36C_16.eds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Name,RK_CR2Apal_36C_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2023-10-17 15:50:08 PM EDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Type,Standard Curve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Name,172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Serial Number,172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,QuantStudio™ 3 System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quantification Cycle Method,Ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Signal Smoothing On,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage where Melt Analysis is performed,Stage3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage/ Cycle where Ct Analysis is performed,"Stage2, Step2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Y-Intercept,R(superscript 2),Slope,Efficiency,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,Rn (last cycle),Delta Rn (last cycle),Tm1,Tm2,Tm3,Tm4,CQCONF,EXPFAIL,HIGHSD,MTP,NOAMP
1,A1,FALSE,+,Apal,UNKNOWN,SYBR,None,27.296390533447266,27.401767730712891,0.14902451634407043,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.98220980002656899,4.2178559303283691,3.7423708438873291,75.105941772460938,,,,N,N,N,N,N
2,A2,FALSE,+,A,UNKNOWN,SYBR,None,14.85725212097168,14.886279106140137,0.04105035588145256,,,,,,,,FALSE,0.10000000000000001,TRUE,3,11,Amp,,0.95596622553485033,6.4477043151855469,5.8929357528686523,87.966751098632812,,,,N,N,N,N,N
3,A3,FALSE,CR2Apal_36C_121,Apal,UNKNOWN,SYBR,None,20.745174407958984,20.192087173461914,0.78218346834182739,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.92257667652245068,4.2146201133728027,3.6684603691101074,75.219039916992188,,,,N,N,Y,N,N
4,A4,FALSE,CR2Apal_36C_121,A,UNKNOWN,SYBR,None,22.796972274780273,22.826171875,0.041294470429420471,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.9468829486160828,6.0768609046936035,5.4361658096313477,88.059768676757812,,,,N,N,N,N,N
5,A5,FALSE,CR2Apal_36C_121,Apal,UNKNOWN,SYBR,None,19.638999938964844,20.192087173461914,0.78218346834182739,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.95411867658552052,4.3102531433105469,3.8255903720855713,75.082923889160156,,,,N,N,Y,N,N
6,A6,FALSE,CR2Apal_36C_121,A,UNKNOWN,SYBR,None,22.855371475219727,22.826171875,0.041294470429420471,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.93914545595206933,6.0572223663330078,5.4662179946899414,87.788078308105469,,,,N,N,N,N,N
7,A7,FALSE,CR2Apal_36C_122,Apal,UNKNOWN,SYBR,None,20.423887252807617,20.061222076416016,0.51288735866546631,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.95523180703888588,3.0821032524108887,2.3982670307159424,74.812812805175781,,,,N,N,Y,N,N
8,A8,FALSE,CR2Apal_36C_122,A,UNKNOWN,SYBR,None,24.643871307373047,24.679237365722656,0.050013810396194458,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.94107085245693334,5.8495311737060547,5.2837443351745605,87.81085205078125,,,,N,N,N,N,N
9,A9,FALSE,CR2Apal_36C_122,Apal,UNKNOWN,SYBR,None,19.698554992675781,20.061222076416016,0.51288735866546631,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.91824620973511784,5.0254688262939453,3.3295023441314697,75.254768371582031,,,,N,N,Y,N,N
10,A10,FALSE,CR2Apal_36C_122,A,UNKNOWN,SYBR,None,24.714601516723633,24.679237365722656,0.050013810396194458,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.93962727026414194,5.9253025054931641,5.2677798271179199,88.125,,,,N,N,N,N,N
11,A11,FALSE,NTC,Apal,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,0.4281318187713623,-0.0077875410206615925,87.549301147460938,74.544036865234375,82.743003845214844,91.083343505859375,Y,Y,N,Y,N
12,A12,FALSE,NTC,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,0.61627203226089478,-0.0059083080850541592,80.763946533203125,64.366004943847656,84.297981262207031,74.826759338378906,Y,Y,N,Y,N
13,B1,FALSE,CR2Apal_36C_123,Apal,UNKNOWN,SYBR,None,21.567628860473633,21.581703186035156,0.019905451685190201,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.98370787266881499,4.2836318016052246,3.7765240669250488,75.105941772460938,,,,N,N,N,N,N
14,B2,FALSE,CR2Apal_36C_123,A,UNKNOWN,SYBR,None,26.443899154663086,26.545192718505859,0.1432507336139679,,,,,,,,FALSE,0.10000000000000001,TRUE,3,23,Amp,,0.96388357345639064,5.4465899467468262,5.0006213188171387,87.825424194335938,,,,N,N,N,N,N
15,B3,FALSE,CR2Apal_36C_123,Apal,UNKNOWN,SYBR,None,21.595779418945312,21.581703186035156,0.019905451685190201,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.94085886526163209,4.2913880348205566,3.8456001281738281,75.219039916992188,,,,N,N,N,N,N
16,B4,FALSE,CR2Apal_36C_123,A,UNKNOWN,SYBR,None,26.646486282348633,26.545192718505859,0.1432507336139679,,,,,,,,FALSE,0.10000000000000001,TRUE,3,23,Amp,,0.95752133098353265,5.6357526779174805,5.1598787307739258,88.059768676757812,,,,N,N,N,N,N
17,B5,FALSE,CR2Apal_36C_124,Apal,UNKNOWN,SYBR,None,20.935964584350586,21.049137115478516,0.16004878282546997,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.93469491519080217,4.3346080780029297,3.8572046756744385,75.082923889160156,,,,N,N,N,N,N
18,B6,FALSE,CR2Apal_36C_124,A,UNKNOWN,SYBR,None,25.884767532348633,25.701869964599609,0.25865757465362549,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.95093705958859209,5.588099479675293,5.2144837379455566,87.788078308105469,,,,N,N,N,N,N
19,B7,FALSE,CR2Apal_36C_124,Apal,UNKNOWN,SYBR,None,21.162307739257812,21.049137115478516,0.16004878282546997,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.93782223846807922,3.8731026649475098,3.515627384185791,74.954093933105469,,,,N,N,N,N,N
20,B8,FALSE,CR2Apal_36C_124,A,UNKNOWN,SYBR,None,25.518970489501953,25.701869964599609,0.25865757465362549,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.95828538216395864,5.7844276428222656,5.2898483276367188,87.81085205078125,,,,N,N,N,N,N
21,B9,FALSE,CR2Apal_36C_125,Apal,UNKNOWN,SYBR,None,24.29179573059082,24.248966217041016,0.060570079833269119,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.947758330017752,4.3243818283081055,3.8822917938232422,75.254768371582031,,,,N,N,N,N,N
22,B10,FALSE,CR2Apal_36C_125,A,UNKNOWN,SYBR,None,27.475488662719727,27.428455352783203,0.066516496241092682,,,,,,,,FALSE,0.10000000000000001,TRUE,3,23,Amp,,0.95894830676905418,5.4961977005004883,5.2048602104187012,87.983566284179688,,,,N,N,N,N,N
23,B11,FALSE,CR2Apal_36C_125,Apal,UNKNOWN,SYBR,None,24.206136703491211,24.248966217041016,0.060570079833269119,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.95114837261860385,4.048792839050293,3.8695058822631836,75.109481811523438,,,,N,N,N,N,N
